"Station","Species","DateTimeOriginal","Date","Time","delta.time.secs","delta.time.mins","delta.time.hours","delta.time.days","Directory","FileName","n_images"
"SLC 109","Fox",2021-11-29 10:30:04,2021-11-29,"10:30:04",0,0,0,0,"Data-21-22/SLC 109/Fox","IMG_0011.AVI",1
"SLC 109","Fox",2021-11-29 11:24:06,2021-11-29,"11:24:06",3242,54,0.9,0,"Data-21-22/SLC 109/Fox","IMG_0012.AVI",1
"SLC 109","Fox",2022-01-08 14:12:10,2022-01-08,"14:12:10",3466084,57768.1,962.8,40.1,"Data-21-22/SLC 109/Fox","IMG_0042.AVI",1
"SLC 109","Fox",2022-01-14 06:16:28,2022-01-14,"06:16:28",489858,8164.3,136.1,5.7,"Data-21-22/SLC 109/Fox","IMG_0048.AVI",1
"SLC 109","Fox",2022-01-15 14:32:18,2022-01-15,"14:32:18",116150,1935.8,32.3,1.3,"Data-21-22/SLC 109/Fox","IMG_0049.AVI",1
"SLC 109","Fox",2022-01-18 08:51:58,2022-01-18,"08:51:58",238780,3979.7,66.3,2.8,"Data-21-22/SLC 109/Fox","IMG_0051.AVI",1
"SLC 109","Fox",2022-02-18 18:11:48,2022-02-18,"18:11:48",2711990,45199.8,753.3,31.4,"Data-21-22/SLC 109/Fox","IMG_0069.AVI",1
"SLC 109","Ibex",2021-12-13 03:44:02,2021-12-13,"03:44:02",0,0,0,0,"Data-21-22/SLC 109/Ibex","IMG_0017.AVI",10
"SLC 109","Ibex",2021-12-17 21:08:56,2021-12-17,"21:08:56",408294,6804.9,113.4,4.7,"Data-21-22/SLC 109/Ibex","IMG_0033.AVI",1
"SLC 109","Ibex",2022-01-04 11:18:36,2022-01-04,"11:18:36",1519780,25329.7,422.2,17.6,"Data-21-22/SLC 109/Ibex","IMG_0040.AVI",1
"SLC 109","Markhor",2021-12-13 03:46:36,2021-12-13,"03:46:36",0,0,0,0,"Data-21-22/SLC 109/Markhor","IMG_0026.AVI",2
"SLC 109","Markhor",2021-12-14 07:18:04,2021-12-14,"07:18:04",99088,1651.5,27.5,1.1,"Data-21-22/SLC 109/Markhor","IMG_0029.AVI",2
"SLC 109","Markhor",2021-12-17 21:07:16,2021-12-17,"21:07:16",308952,5149.2,85.8,3.6,"Data-21-22/SLC 109/Markhor","IMG_0031.AVI",3
"SLC 109","Markhor",2021-12-24 14:04:12,2021-12-24,"14:04:12",579416,9656.9,160.9,6.7,"Data-21-22/SLC 109/Markhor","IMG_0037.AVI",1
"SLC 109","Snow Leopard",2021-11-23 10:41:10,2021-11-23,"10:41:10",0,0,0,0,"Data-21-22/SLC 109/Snow Leopard","IMG_0009.AVI",1
