camera,Video/ Picture,Year,Snow Leopard,Grey Wolf,Ibex,Markhor,Red Fox,Livestock,Blank,Others,Total Images,northing,easting,elevation_m,start,end,Set Date,Close Date,n_days_orig
SLC 109-Krabathang-Barlmai lataraq,Video,2021-2022,0,0,0,0,0,0,5,11,16,35 32 730,75 20 540,2116,28/02/2022,26/04/2022,28/2/2022,26/4/2023,57
SLC 109-Krabathang-Charchik Thang,Video,2021-2022,10,0,12,8,7,0,34,0,71,35 33 290,75 20 535,2195,18/11/2021,23/02/2022,18/11/2021,23/2/2022,96
SLC 117-Krabathang-Doaqbe Longma,Video,2021-2022,1,0,3,0,25,0,16,5,50,35 33 485,75 19 983,2533,18/11/2021,23/02/2022,18/11/2021,23/2/2022,96
SLC 117-Krabathang-Naqpo braqbo,Video,2021-2022,0,0,11,0,0,0,7,2,20,35 33 375,75 20 377,2301,28/02/2022,26/04/2022,28/2/2022,26/4/2025,57
SLC 118-Krabathang-Chotok katpa,Video,2021-2022,2,0,9,30,2,0,18,1,62,35 32 950,75 20 526,2171,18/11/2021,23/02/2022,18/11/2021,23/2/2022,96
SLC 118-Krabathang-Khalngfafpa,Video,2021-2022,2,0,7,0,2,0,11,4,26,35 33 383,75 20 339,2321,28/02/2022,26/04/2022,28/2/2022,26/4/2023,57
SLC 120-Sultanabad-Ganichi Nallah,Video,2021-2022,0,0,1,0,9,0,15,4,29,35 27 433,75 17 263,3745,19/11/2021,13/04/2022,19/11/2021,13/4/2022,142
SLC 121-Skoyo-Sachilim,Video,2021-2022,4,0,0,3,12,0,3,0,22,35 34 734,75 17 293,2256,05/12/2021,07/03/2022,5/12/21,7/3/22,92
SLC 123-Skoyo-Khadi strang,Picture,2021-2022,0,0,0,0,0,10,0,0,10,35 34 741,75 17 369,2057,11/03/2022,25/04/2022,11/3/22,25/4/2022,45
SLC 123-Skoyo-Khat,Picture,2021-2022,21,0,6,0,25,224,197,14,487,35 34 741,75 17 369,2057,05/12/2021,07/03/2022,5/12/21,7/3/22,92
SLC 124-Skoyo-Chodress,video,2021-2022,0,0,0,2,3,0,23,20,48,35 34 784,75 17 774,2114,11/03/2022,25/04/2022,11/4/22,25/4/2023,45
SLC 124-Skoyo-Chodress-B,video,2021-2022,2,0,2,0,0,0,8,3,15,35 34 784,75 17 774,2114,05/12/2021,07/03/2022,5/12/21,7/3/22,92
SLC 126-Thallay-Sharichan,Video,2021-2022,0,0,0,0,0,0,38,14,52,35 34 732,75 17 478,2297,21/12/2021,03/04/2022,21/12/2021,3/4/22,100
SLC 139-Khumerah-Polostrang,Video,2021-2022,,,,,,,,,,35 36 175,75 21 140,2832,03/12/2021,,3/12/21,,
SLC 140-Krabathang-Chotok katpa,Video,2021-2022,1,0,4,0,3,8,10,3,29,35 32 940,75 20 511,2114,28/02/2022,26/04/2022,28/2/2022,26/4/2022,57
SLC 140-Krabathang-Rabalum,Video,2021-2022,0,0,7,6,2,0,15,3,33,35 33 511,75 20 112,2319,18/11/2021,23/02/2022,18/11/2021,23/2/2022,96
SLC 199-Skoyo-Rabsa,Video,2021-2022,4,0,0,0,1,2,24,1,32,35 46 835,75 25 330,2223,05/12/2021,07/03/2022,5/12/21,7/3/22,92
SLC 199-Skoyo-Rabsa-B,video,2021-2022,1,0,0,1,0,0,0,2,4,35 46 835,75 25 330,2223,11/03/2022,25/04/2022,11/5/22,25/4/2024,45
SLC 201-Hushe-UNKNOWN,,2021-2022,0,0,142,0,0,4,98,45,289,,,,,,,,
SLC 204-Krabathang-Moni Baho,Video,2021-2022,6,0,5,5,2,0,9,0,27,35 33 185,75 20 594,2171,18/11/2021,23/02/2022,18/11/2021,23/2/2022,96
SLC 204-Krabathang-Shamlishan,Video,2021-2022,1,0,0,0,0,0,23,0,24,35 33 227,75 20 975,2078,28/02/2022,26/04/2022,28/2/2022,26/4/2022,57
SLC 205-Krabathang-Barbenchan,Video,2021-2022,1,0,4,0,0,0,9,5,19,35 32 779,75 20 538,2098,18/11/2021,23/02/2022,18/11/2021,23/2/2022,96
SLC 205-Krabathang-Osemoni Baho,Video,2021-2022,1,0,0,0,0,0,2,0,3,35 33 179,75 20 561,2109,28/02/2022,26/04/2022,28/2/2022,26/4/2024,57
SLC 206-Krabathang-Barbenchan,Video,2021-2022,1,3,0,0,22,0,20,1,47,35 33 289,75 20 535,2196,28/02/2022,26/04/2022,28/2/2022,26/4/2023,57
SLC 206-Krabathang-Khalngfafpa,Video,2021-2022,0,0,2,1,2,0,5,0,10,35 33 383,75 20 359,2252,18/11/2021,23/02/2022,18/11/2021,23/2/2022,96
SLC 207-Sultanabad-Ganichi Nallah,Picture,2021-2022,0,0,0,0,69,0,272,24,365,35 27 433,75 17 263,3745,19/11/2021,13/04/2022,19/11/2021,13/4/2022,142
TWLF 21-Krabathang-Hrkongo Doaqbe longma,Video,2021-2022,0,0,0,0,5,7,20,2,34,35 33 456,75 19 980,2369,28/02/2022,26/04/2022,28/2/2022,26/4/2024,57
TWLF 21-Krabathang-Shamlishan,Video,2021-2022,0,0,1,2,0,0,5,0,8,35 33 227,75 20 975,2078,18/11/2021,23/02/2022,18/11/2021,23/2/2022,96
TWLF 22-Thallay-Forgon broq,Video,2021-2022,0,0,0,0,0,0,91,8,99,35 17 976,76 08 164,3510,21/12/2021,03/04/2022,21/12/2021,3/4/22,100
TWLF 23-Skoyo-Chikas,Video,2021-2022,4,0,1,0,64,0,34,27,130,35 34 178,75 17 406,2223,05/12/2021,07/03/2022,5/12/21,7/3/22,92
TWLF 24-Thallay-Kaskatama,Picture,2021-2022,5,0,0,0,6,0,183,2,196,35 18 176,76 08 758,3514,21/12/2021,03/04/2022,21/12/2021,3/4/22,100
