"","Station","Species","DateTimeOriginal","Date","Time","delta.time.secs","delta.time.mins","delta.time.hours","delta.time.days","Directory","FileName","n_images"
"8","SLC 109-Krabatahng-Charchik Thang","Ibex","2021-12-13 03:44:02","2021-12-13","03:44:02",0,0,0,0,"Data-21-22/SLC 109-Krabatahng-Charchik Thang/Ibex","IMG_0017.AVI",10
"9","SLC 109-Krabatahng-Charchik Thang","Ibex","2021-12-17 21:08:56","2021-12-17","21:08:56",408294,6804.9,113.4,4.7,"Data-21-22/SLC 109-Krabatahng-Charchik Thang/Ibex","IMG_0033.AVI",1
"10","SLC 109-Krabatahng-Charchik Thang","Ibex","2022-01-04 11:18:36","2022-01-04","11:18:36",1519780,25329.7,422.2,17.6,"Data-21-22/SLC 109-Krabatahng-Charchik Thang/Ibex","IMG_0040.AVI",1
"11","SLC 109-Krabatahng-Charchik Thang","Markhor","2021-12-13 03:46:36","2021-12-13","03:46:36",0,0,0,0,"Data-21-22/SLC 109-Krabatahng-Charchik Thang/Markhor","IMG_0026.AVI",2
"12","SLC 109-Krabatahng-Charchik Thang","Markhor","2021-12-14 07:18:04","2021-12-14","07:18:04",99088,1651.5,27.5,1.1,"Data-21-22/SLC 109-Krabatahng-Charchik Thang/Markhor","IMG_0029.AVI",2
"13","SLC 109-Krabatahng-Charchik Thang","Markhor","2021-12-17 21:07:16","2021-12-17","21:07:16",308952,5149.2,85.8,3.6,"Data-21-22/SLC 109-Krabatahng-Charchik Thang/Markhor","IMG_0031.AVI",3
"14","SLC 109-Krabatahng-Charchik Thang","Markhor","2021-12-24 14:04:12","2021-12-24","14:04:12",579416,9656.9,160.9,6.7,"Data-21-22/SLC 109-Krabatahng-Charchik Thang/Markhor","IMG_0037.AVI",1
"47","SLC 117-Krabathang-Doaqbe Longma","Ibex","2021-11-20 21:42:48","2021-11-20","21:42:48",0,0,0,0,"Data-21-22/SLC 117-Krabathang-Doaqbe Longma/Ibex","IMG_0005.AVI",3
"51","SLC 117-Krabathang-Naqpo braqbo","Ibex","2022-03-29 18:54:14","2022-03-29","18:54:14",0,0,0,0,"Data-21-22/SLC 117-Krabathang-Naqpo braqbo/Ibex","IMG_0005.AVI",2
"52","SLC 117-Krabathang-Naqpo braqbo","Ibex","2022-03-29 22:06:36","2022-03-29","22:06:36",11542,192.4,3.2,0.1,"Data-21-22/SLC 117-Krabathang-Naqpo braqbo/Ibex","IMG_0007.AVI",1
